D:\pingbring\90\rgb\rgb_1730811035.jpg,,D:\pingbring\90\sds\depth_1730811037.npy,1175
D:\pingbring\90\rgb\rgb_1730811039.jpg,,D:\pingbring\90\sds\depth_1730811040.npy,1175
D:\pingbring\90\rgb\rgb_1730811042.jpg,,D:\pingbring\90\sds\depth_1730811043.npy,1175
D:\pingbring\90\rgb\rgb_1730811045.jpg,,D:\pingbring\90\sds\depth_1730811046.npy,1175
D:\pingbring\90\rgb\rgb_1730811049.jpg,,D:\pingbring\90\sds\depth_1730811050.npy,1175
D:\pingbring\90\rgb\rgb_1730811052.jpg,,D:\pingbring\90\sds\depth_1730811053.npy,1175
D:\pingbring\90\rgb\rgb_1730811055.jpg,,D:\pingbring\90\sds\depth_1730811056.npy,1175
D:\pingbring\90\rgb\rgb_1730811058.jpg,,D:\pingbring\90\sds\depth_1730811059.npy,1175
D:\pingbring\90\rgb\rgb_1730811061.jpg,,D:\pingbring\90\sds\depth_1730811063.npy,1175
D:\pingbring\90\rgb\rgb_1730811065.jpg,,D:\pingbring\90\sds\depth_1730811066.npy,1175
D:\pingbring\90\rgb\rgb_1730811068.jpg,,D:\pingbring\90\sds\depth_1730811069.npy,1175
D:\pingbring\90\rgb\rgb_1730811071.jpg,,D:\pingbring\90\sds\depth_1730811072.npy,1175
D:\pingbring\90\rgb\rgb_1730811074.jpg,,D:\pingbring\90\sds\depth_1730811076.npy,1175
D:\pingbring\90\rgb\rgb_1730811078.jpg,,D:\pingbring\90\sds\depth_1730811079.npy,1175
D:\pingbring\90\rgb\rgb_1730811081.jpg,,D:\pingbring\90\sds\depth_1730811082.npy,1175
D:\pingbring\90\rgb\rgb_1730811084.jpg,,D:\pingbring\90\sds\depth_1730811085.npy,1175
D:\pingbring\90\rgb\rgb_1730811087.jpg,,D:\pingbring\90\sds\depth_1730811089.npy,1175
D:\pingbring\90\rgb\rgb_1730811091.jpg,,D:\pingbring\90\sds\depth_1730811092.npy,1175
D:\pingbring\90\rgb\rgb_1730811094.jpg,,D:\pingbring\90\sds\depth_1730811095.npy,1175
D:\pingbring\90\rgb\rgb_1730811097.jpg,,D:\pingbring\90\sds\depth_1730811098.npy,1175
